t,phase,lambda_scalar,dominant_regime,ideas,objects,CE_mean,total_objects
1,warmup,0.0,narrative,0,0,0.9999994816849735,0
2,warmup,0.0,narrative,0,0,1.0,0
3,warmup,0.0,narrative,0,0,1.0,0
4,warmup,0.0,teleo,0,0,1.0,0
5,warmup,0.0,teleo,1,1,1.0,1
6,warmup,0.22776157262029373,creative,3,1,0.897703641350805,2
7,warmup,0.1733383024370998,creative,1,1,0.9066936096149852,3
8,warmup,0.09649387426264511,creative,2,0,0.9162465421227635,3
9,warmup,0.05573423003005018,creative,2,0,0.9255050464787207,3
10,warmup,0.0493021970820422,creative,3,0,0.931225579222424,3
11,warmup,0.10210563644419812,creative,3,2,0.8723133295092313,5
12,warmup,0.06135129723358013,creative,1,0,0.010122095271226117,5
13,warmup,0.05710744390444211,narrative,3,0,0.008869508906736592,5
14,warmup,0.044901092058062475,narrative,1,0,0.0077766298403392446,5
15,warmup,0.03800877531760083,narrative,1,0,0.008100620631304165,5
16,warmup,0.040288967502500994,narrative,1,0,0.002578686456828598,5
17,warmup,0.033940274929430414,narrative,2,0,0.0030490689668399838,5
18,warmup,0.04297128349279722,narrative,3,1,0.003850564291659017,6
19,warmup,0.06284220049834066,narrative,2,0,0.0004776673510209113,6
20,warmup,0.05118575842072692,narrative,2,0,0.000511127420642627,6
21,warmup,0.052358184837372534,narrative,3,1,0.0006659229394095753,7
22,warmup,0.05202416050606129,narrative,2,0,0.0007343429443090398,7
23,warmup,0.04627879068687768,narrative,2,0,0.0009498307947048964,7
24,warmup,0.040770461533507385,narrative,0,0,0.0009446867514260257,7
25,warmup,0.055605738290818385,narrative,4,1,0.0007989471925909953,8
26,warmup,0.05422730271574783,narrative,3,1,0.0004965579702993113,9
27,warmup,0.03813484000009326,narrative,1,0,0.0005938204455752988,9
28,warmup,0.04779465451168663,narrative,2,0,0.0003652886166192207,9
29,warmup,0.056934258309592756,narrative,2,1,0.00038649182102282734,10
30,warmup,0.08913337523108789,creative,2,2,0.00029220098270417097,12
31,warmup,0.062105845765747736,creative,3,1,0.00029267661417363314,13
32,warmup,0.055094977038257165,creative,1,0,0.00031271025867094464,13
33,warmup,0.10562249231638599,creative,3,2,0.0003160119842344998,15
34,warmup,0.10743237050460908,creative,3,0,0.0003389044453219206,15
35,warmup,0.11504678622704811,creative,4,0,0.00038191961013384686,15
36,warmup,0.14365013512295288,creative,3,1,0.0003854991760925702,16
37,warmup,0.1270731638094582,creative,1,0,0.000378446059414373,16
38,warmup,0.08123988856399167,creative,1,0,0.00044084325326689477,16
39,warmup,0.08505330236014896,creative,2,0,0.0006901405216267181,16
40,warmup,0.1039997168572383,creative,1,1,0.0007449063196931784,17
41,warmup,0.08274232930980674,creative,2,0,0.0006556250206729787,17
42,warmup,0.06764480043315368,creative,2,0,0.0005327190350993184,17
43,warmup,0.09266351995773414,creative,2,1,0.0005871796410833014,18
44,warmup,0.12949950457325488,creative,3,1,0.0005210440815407863,19
45,warmup,0.07886645883336629,creative,3,0,0.00040288716827011995,19
46,warmup,0.11427168517867436,creative,5,2,0.00048355404434962106,21
47,warmup,0.12615499845623446,creative,1,1,0.0003907344549968094,22
48,warmup,0.17452579291636627,creative,4,1,0.00042971583466126296,23
49,warmup,0.13736581167483308,creative,2,0,0.0003540730584671342,23
50,warmup,0.11686448238249925,creative,2,2,0.000297095416134283,25
51,free_run,0.12765644351788907,creative,2,2,0.0003427762681888295,27
52,free_run,0.14909254852895693,creative,2,1,0.00031617657031096397,28
53,free_run,0.10720312441156399,creative,2,1,0.0003142353007092281,29
54,free_run,0.12625102187322423,creative,2,2,0.00028071490154324316,31
55,free_run,0.09921027720238051,creative,1,0,0.00024300704763136828,31
56,free_run,0.0764715894925877,creative,2,0,0.0002420286558383683,31
57,free_run,0.06979065857161948,creative,2,0,0.0003003709445755628,31
58,free_run,0.06879379995350432,creative,0,0,0.00030615499536090627,31
59,free_run,0.076243931413016,creative,3,1,0.00039474040625002497,32
60,free_run,0.051709204663363484,creative,0,0,0.00044707589904919854,32
61,free_run,0.06143860963126735,creative,1,1,0.0003725523809677957,33
62,free_run,0.06958186359306706,creative,3,0,0.00048137993820629937,33
63,free_run,0.05019961778819537,creative,3,0,0.0005094819971586068,33
64,free_run,0.0329188183928355,creative,1,0,0.0005571171033150772,33
65,free_run,0.02852425984695872,creative,2,0,0.00045016989544577335,33
66,free_run,0.04064298968815083,creative,4,3,0.0004950932451758876,36
67,free_run,0.07848519308256463,creative,5,3,0.0004666401306177039,39
68,free_run,0.07621398464172868,creative,4,1,0.0004698071217045753,40
69,free_run,0.12742710242920585,creative,4,2,0.000507616820857108,42
70,free_run,0.07555389512373145,creative,2,0,0.0004831124606333614,42
71,free_run,0.13217647290635326,creative,5,4,0.0003426605955273841,46
72,free_run,0.1253147654872826,creative,3,1,0.00033932375867613655,47
73,free_run,0.15701221328673554,creative,4,3,0.0003842028508260267,50
74,free_run,0.12634830589945745,creative,3,0,0.00034961811839398044,50
75,free_run,0.12377045478969473,creative,2,0,0.0003761484926062084,50
76,free_run,0.14919690684336062,creative,3,1,0.0003992604192745051,51
77,free_run,0.17320370795435458,creative,3,0,0.00045183549359471034,51
78,free_run,0.24292633879970904,creative,4,2,0.0004912745543069313,53
79,free_run,0.21860122734971055,creative,4,0,0.00038522306183119215,53
80,free_run,0.27808714718261707,creative,3,2,0.00039164892829086884,55
81,free_run,0.30162789245597976,creative,2,2,0.0003708625736158125,57
82,free_run,0.26557301716913473,creative,1,0,0.0003512538600386938,57
83,free_run,0.24641666420592345,creative,1,1,0.0003080556970271998,58
84,free_run,0.24298271511915115,creative,2,0,3.9845092365688e-05,58
85,free_run,0.2495509098616785,creative,2,1,4.108979944841114e-05,59
86,free_run,0.19152059299441393,creative,3,1,5.968711826077689e-05,60
87,free_run,0.10220250556435895,creative,1,0,6.313454226221608e-05,60
88,free_run,0.07970311935745089,creative,2,0,0.00012035030474927772,60
89,free_run,0.04832474495907524,creative,0,0,8.411703196885264e-05,60
90,free_run,0.04499146930324349,creative,1,0,0.00014610277024105605,60
91,free_run,0.022329960265051185,narrative,1,0,0.0002004409615066155,60
92,free_run,0.024326553128352413,narrative,2,1,0.0002006330824728955,61
93,free_run,0.01947228755571928,narrative,3,1,0.0002493458969158709,62
94,free_run,0.024961886309897707,narrative,4,3,0.0001778030511816762,65
95,free_run,0.024747904993132508,narrative,2,1,0.0001436710197246681,66
96,free_run,0.026360154663185642,narrative,1,0,0.00016001535696084836,66
97,free_run,0.018852719543646312,narrative,2,1,0.00014741774681002599,67
98,free_run,0.02149206918716262,narrative,2,1,0.000242694835058453,68
99,free_run,0.023347799890852228,narrative,4,2,0.0002232105600776575,70
100,free_run,0.02595157348370225,narrative,2,1,0.00041140067058911936,71
101,free_run,0.01996740465572322,narrative,0,0,0.00034802240924970923,71
102,free_run,0.01597725852785048,narrative,1,0,0.0005797149402419934,71
103,free_run,0.01594658474565569,narrative,1,0,0.00030478286971537743,71
104,free_run,0.01607790749339122,narrative,1,0,0.00034857717111895275,71
105,free_run,0.022341526881911156,narrative,0,0,0.0003756655978896737,71
106,free_run,0.01849038603950326,narrative,4,2,0.00042504401600533206,73
107,free_run,0.01284715960080951,narrative,1,1,0.0003874134674513795,74
108,free_run,0.012896965314480258,narrative,2,0,0.0004854649494197909,74
109,free_run,0.012615714122031885,narrative,0,0,0.0006157481036454737,74
110,free_run,0.020910777275775172,narrative,1,1,0.0005713796377780874,75
111,free_run,0.016179814479094667,narrative,1,0,0.0004261171100458074,75
112,free_run,0.01866592785949328,narrative,1,0,0.000461571399030931,75
113,free_run,0.01542504222422536,narrative,1,0,0.0004844133131831596,75
114,free_run,0.03213916240987058,narrative,1,0,0.0005283457269781137,75
115,free_run,0.03327605253666088,narrative,2,1,0.0005502753132424111,76
116,free_run,0.0346489734052412,narrative,2,0,0.0005478569300883777,76
117,free_run,0.04399607266366212,narrative,0,0,0.0005742689998473218,76
118,free_run,0.047442575230505324,narrative,0,0,0.0006025780790709993,76
119,free_run,0.06298774120635031,narrative,2,1,0.0006063159563233238,77
120,free_run,0.07229916900542244,narrative,2,0,0.0006176626107379618,77
121,free_run,0.05731266059343609,narrative,2,0,0.0006471550302813718,77
122,free_run,0.0372184357096792,narrative,5,3,0.000744902511044289,80
123,free_run,0.02833409326866554,narrative,3,2,0.0007136089933144713,82
124,free_run,0.0216339207174574,narrative,3,1,0.00130422835646407,83
125,free_run,0.02111005059508808,narrative,2,1,0.0013936232476626648,84
126,free_run,0.019810481412169123,narrative,4,1,0.001617752786136114,85
127,free_run,0.0155475578463794,narrative,4,1,0.0011061305653683187,86
128,free_run,0.013373519226372976,narrative,4,2,0.002034744869079827,88
129,free_run,0.017614746953845017,creative,4,1,0.0017597057685826783,89
130,free_run,0.02791208583361182,creative,4,1,0.0012884609677778103,90
131,free_run,0.03422915070337651,creative,3,0,0.0010263705363602557,90
132,free_run,0.03134358041909524,creative,1,0,0.0008288340139568204,90
133,free_run,0.049258660141667354,creative,2,2,0.0006427060556649599,92
134,free_run,0.0647660762320118,creative,1,1,0.0005675614592062185,93
135,free_run,0.045325338571846396,creative,0,0,0.000632916086301873,93
136,free_run,0.056434066972427366,creative,2,1,0.0006254609079809092,94
137,free_run,0.05615081557776869,creative,2,0,0.0006263870273171708,94
138,free_run,0.07023897513194366,creative,2,0,0.0008199682834192851,94
139,free_run,0.04537963865118533,creative,1,0,0.0006769462117243356,94
140,free_run,0.0670820133371326,creative,2,1,0.0008231910502688918,95
141,free_run,0.06962589020864596,creative,1,1,0.0008143109229830359,96
142,free_run,0.02628754735780736,creative,1,0,0.0008913482520017099,96
143,free_run,0.017681323571581253,narrative,0,0,0.0009365525236590873,96
144,free_run,0.020803338197507903,narrative,3,2,0.001006746934598219,98
145,free_run,0.028379586403128543,creative,2,2,0.0010207247623858688,100
146,free_run,0.026165158767251784,creative,2,2,0.0010475507655599275,102
147,free_run,0.04165936120792246,creative,4,3,0.0012160224558827326,105
148,free_run,0.04122145718942083,creative,2,2,0.0012085581215620944,107
149,free_run,0.03905877345140718,creative,2,1,0.00110194264025194,108
150,free_run,0.03223798719614834,creative,1,1,0.000864872394953123,109
151,free_run,0.03194366419869754,creative,3,0,0.0008485456830404187,109
152,free_run,0.04431519223040992,creative,3,1,0.0008320642416526577,110
153,free_run,0.04583256805219582,creative,3,1,0.0008169231776218545,111
154,free_run,0.039422261622037325,creative,1,0,0.000822629571427724,111
155,free_run,0.05105424718208229,creative,3,1,0.0007969585377606983,112
156,free_run,0.047874918125502375,creative,2,1,0.0008222039180651718,113
157,free_run,0.0585058306433891,creative,2,1,0.0008907394958440451,114
158,free_run,0.05391272587983409,creative,1,0,0.001066384241414905,114
159,free_run,0.05354553724508637,creative,3,0,0.0009373353056196188,114
160,free_run,0.03241815824614391,creative,0,0,0.001006102329233836,114
161,free_run,0.022881577738992687,creative,1,0,0.0010310321293861,114
162,free_run,0.041336856360135954,creative,3,1,0.0010596508572796185,115
163,free_run,0.039131615591967095,creative,1,0,0.0009834467639893616,115
164,free_run,0.027127604630232782,creative,2,1,0.0010082366612072216,116
165,free_run,0.04735593754006584,creative,5,3,0.0010514064934129528,119
166,free_run,0.06348483628311108,creative,3,3,0.001103020611790476,122
167,free_run,0.03359378841086469,creative,1,1,0.0011291156096096657,123
168,free_run,0.0167059860765727,narrative,1,0,0.0011404355227517334,123
169,free_run,0.02781976503606365,narrative,2,0,0.0011864929200610826,123
170,free_run,0.022454037912194136,narrative,3,1,0.0011795267212925766,124
171,free_run,0.027190359620990256,narrative,2,1,0.0011124448522735245,125
172,free_run,0.019247838800560246,narrative,1,0,0.0009950966103069985,125
173,free_run,0.016196110173854805,narrative,2,1,0.0010169570089597977,126
174,free_run,0.015438312972466006,narrative,1,1,0.0010115347121704321,127
175,free_run,0.017512957861372858,narrative,2,0,0.0009203027310898694,127
176,free_run,0.02287375918812662,narrative,2,0,0.0009503705223372468,127
177,free_run,0.02020576663547269,narrative,3,1,0.0009746810501650299,128
178,free_run,0.015416787019018163,narrative,3,0,0.000962026810882767,128
179,free_run,0.01633493801248631,narrative,3,1,0.0009579971686938772,129
180,free_run,0.014817592766881993,narrative,2,0,0.0009689062456507271,129
181,free_run,0.016116448492710878,creative,2,1,0.0011547558839643103,130
182,free_run,0.015931966791124963,narrative,3,0,0.0012724824264111014,130
183,free_run,0.018049294013847805,narrative,3,0,0.0013539386013591607,130
184,free_run,0.017088971149243237,narrative,1,0,0.0014300925946125552,130
185,free_run,0.021804856233270886,narrative,3,0,0.0011827768340294197,130
186,free_run,0.03166226414371398,narrative,1,0,0.0012778321946373098,130
187,free_run,0.02639755937004018,narrative,3,1,0.001184741462539132,131
188,free_run,0.02433526583173684,narrative,1,1,0.0014816847282489675,132
189,free_run,0.025659231268244542,narrative,4,0,0.0016801888719017687,132
190,free_run,0.02550393605384449,narrative,2,1,0.0018825568174366605,133
191,free_run,0.027409310671030473,narrative,2,1,0.0019303454890687972,134
192,free_run,0.02272551368116249,narrative,2,0,0.0026537397711283474,134
193,free_run,0.022485206656211787,narrative,3,0,0.0027019109627480506,134
194,free_run,0.02085116837534995,narrative,2,0,0.0023416238163619474,134
195,free_run,0.019094185484077597,narrative,2,0,0.0023660611076608204,134
196,free_run,0.015004287465092414,narrative,3,1,0.002580738338751268,135
197,free_run,0.013173502487899724,narrative,2,1,0.0026857178335957478,136
198,free_run,0.014240406727629273,narrative,2,0,0.0027473831440227602,136
199,free_run,0.010952505514672639,narrative,3,2,0.0011651104775065753,138
200,free_run,0.00971726910494175,narrative,3,1,0.00103592858926723,139
