t,phase,total_modes,total_variance_explained,field_mean_coherence,field_mean_energy,n_attractors,mean_speed,tensor_modes_strong,n_communities,mean_interaction_strength
1,warmup,0,0,0.10334949064306562,0.7386441445552866,0,0.0,0,2,0.1274210784133888
2,warmup,0,0,0.14861752551061017,0.7133020456088748,0,0.4984181081603838,0,2,0.15433424772258003
3,warmup,0,0,0.5445664885736345,0.7074100177652652,10,0.4865788985038134,0,2,0.19459657804931718
4,warmup,0,0,0.5090965947168804,0.7283176760285919,10,0.5435110182992487,0,2,0.2140985790645776
5,warmup,7,0.9332996578025412,0.4614631400164916,0.6906661178057046,20,0.5219179146975492,2,2,0.2330351718026082
6,warmup,7,0.9332996578025412,0.3885670241334116,0.7265235954568883,20,0.5426665705807409,2,2,0.2283283490338606
7,warmup,7,0.9332996578025412,0.35444733785702026,0.7103093694672341,20,0.5445284841033268,2,2,0.2217983513340704
8,warmup,7,0.9332996578025412,0.3588795298573256,0.7147123932520376,20,0.535122876192068,2,2,0.21063503803115718
9,warmup,7,0.9332996578025412,0.36925356486664945,0.7118138067998384,20,0.5481700316072888,2,2,0.2126742640361752
10,warmup,8,0.9095378326750335,0.3617169043382319,0.7172320822206641,45,0.5553377139491799,2,2,0.2141758523561859
11,warmup,8,0.9095378326750335,0.3509690488828315,0.7597329398406412,50,0.5469539678420273,2,2,0.21615178113302663
12,warmup,8,0.9095378326750335,0.360670722757937,0.7545984941255834,50,0.559909151070114,2,2,0.2139023816228251
13,warmup,8,0.9095378326750335,0.3666894384740321,0.7454670165426645,50,0.5561299486149807,2,2,0.21339157376099296
14,warmup,8,0.9095378326750335,0.3705877891960111,0.7394198894489479,50,0.5569844047970721,2,2,0.21223920772045807
15,warmup,9,0.9515886005216694,0.3402213327914512,0.7028932261387238,70,0.5604758651459583,3,2,0.21807284033831184
16,warmup,9,0.9515886005216694,0.3366733096965862,0.7035664976319628,70,0.5591055794067189,3,2,0.22723928482070338
17,warmup,9,0.9515886005216694,0.33800962832472564,0.7082720341083426,70,0.5549090946820083,3,2,0.2309414986317906
18,warmup,9,0.9515886005216694,0.34600772351247094,0.6640440492498422,70,0.5610079216251591,3,2,0.23493839334013822
19,warmup,9,0.9515886005216694,0.35873057053801355,0.6743047624793178,70,0.5605007684898329,3,2,0.23534399253515403
20,warmup,9,0.9423442498669713,0.34090688818291903,0.7345283441313974,95,0.5598407627906485,2,2,0.23582313791001308
21,warmup,9,0.9423442498669713,0.33083915797535646,0.7177765480333405,100,0.5593521443998507,2,2,0.2384334344398734
22,warmup,9,0.9423442498669713,0.3300681560626883,0.6630429524855801,100,0.5602676004784354,2,2,0.239958603270121
23,warmup,9,0.9423442498669713,0.33934416654113164,0.7209131171333658,100,0.563227372036041,2,2,0.24269680550476389
24,warmup,9,0.9423442498669713,0.3157790217365723,0.6643292520890838,100,0.5664860166576683,2,2,0.24229595939505372
25,warmup,9,0.9403721822650848,0.29937890287211966,0.6622832175636558,120,0.5637043419249381,2,2,0.24329921826506137
26,warmup,9,0.9403721822650848,0.29786699673331796,0.6385820573909488,120,0.5625683037106457,2,2,0.2437641541256804
27,warmup,9,0.9403721822650848,0.2937645814897803,0.6586838151394816,120,0.5643888235742693,2,2,0.24858602674311425
28,warmup,9,0.9403721822650848,0.3043275052619735,0.6617306776809679,120,0.5609899169173187,2,2,0.24997845565768867
29,warmup,9,0.9403721822650848,0.30806579470148343,0.687294824539829,120,0.5583555893718015,2,2,0.2531970797442926
30,warmup,9,0.937980835971348,0.31088415058139873,0.70611831523084,145,0.5549354310300142,2,2,0.2549041771356935
31,warmup,9,0.937980835971348,0.30266285754030653,0.7094950585955274,150,0.5552550022911242,2,2,0.2552682482848587
32,warmup,9,0.937980835971348,0.29806961056874137,0.7236829982788697,150,0.5584551208842956,2,2,0.2541443592403416
33,warmup,9,0.937980835971348,0.2890738065414241,0.700893493745337,150,0.5557466979700827,2,2,0.2567849411812372
34,warmup,9,0.937980835971348,0.28174041275035444,0.7433456229810017,150,0.5540578278252558,2,2,0.2582741773358839
35,warmup,9,0.9314060087896407,0.29246505976498094,0.717464993364008,170,0.5557469674777867,2,2,0.2606082769402206
36,warmup,9,0.9317123781804841,0.300214854186091,0.7136699215230049,175,0.5569588456238158,2,2,0.2597462869855386
37,warmup,9,0.9317123781804841,0.28916623087184146,0.6978081742637713,175,0.5556684484645527,2,2,0.2607248573438889
38,warmup,9,0.9317123781804841,0.2903409123969893,0.7130577641726716,175,0.5580663544778367,2,2,0.26311961037619364
39,warmup,9,0.9317123781804841,0.2802233059317936,0.652745867335778,175,0.5576425012926415,2,2,0.26204410401106437
40,warmup,9,0.9317123781804841,0.28217106525764535,0.6973308917001058,175,0.5563855322994927,2,2,0.26075140095884175
41,warmup,9,0.9317123781804841,0.277906200297778,0.7224628645865174,200,0.5576984685892489,2,2,0.2659266824617887
42,warmup,9,0.9292428542049441,0.2783804569090022,0.7451823826067104,205,0.5578793035544766,2,2,0.2658371280527561
43,warmup,9,0.9292428542049441,0.27410182947132977,0.7330356934286434,205,0.557784511734981,2,2,0.2664743064080273
44,warmup,9,0.9292428542049441,0.272469205836273,0.7202338239844879,205,0.5591913483235822,2,2,0.26685263945303317
45,warmup,9,0.9292428542049441,0.280550512543674,0.7478569972365018,205,0.5551594280229398,2,2,0.26843484465931133
46,warmup,9,0.9292428542049441,0.28939464630515677,0.6912416757277342,205,0.5532763776641325,2,2,0.2692061820110853
47,warmup,9,0.9292428542049441,0.2974844259711686,0.7204349497185564,205,0.5522509435865055,2,2,0.26935229199235033
48,warmup,9,0.9268298313368636,0.3068522861460172,0.716794538037167,235,0.5505892271197775,2,2,0.26963235897349236
49,warmup,9,0.9259945123800537,0.29582392768427235,0.7037259388301063,240,0.5499997658826203,3,2,0.27032139869118293
50,warmup,9,0.9259945123800537,0.29823656577313856,0.6656821881635362,240,0.5504371757480058,3,2,0.272355584129781
51,free_run,9,0.9259945123800537,0.2986319457580004,0.6945868137643256,250,0.5481771747495368,3,2,0.2722936440099678
52,free_run,9,0.9259945123800537,0.3110825275757516,0.6953378234423407,250,0.5461007002103561,3,2,0.2735937142931405
53,free_run,9,0.9259945123800537,0.3245424887654716,0.7169786055252582,250,0.5440484427658886,3,2,0.27345674952812754
54,free_run,9,0.9259945123800537,0.3255802202992756,0.6929444805328576,250,0.5408200041299538,3,2,0.27457207847712783
55,free_run,9,0.9259945123800537,0.3185846038787414,0.6798632029502261,250,0.5389562542394505,3,2,0.2736706594304374
56,free_run,10,0.9999999999999999,0.30653401630925503,0.6860369400470471,275,0.5362771383158069,2,2,0.27296391199809356
57,free_run,10,0.9999999999999999,0.29042052638243293,0.690759374430925,275,0.5343046270480679,2,2,0.27286067949702075
58,free_run,10,0.9999999999999999,0.2765192093500406,0.7130313388256583,275,0.5340629348062877,2,2,0.27249275231474224
59,free_run,10,0.9999999999999999,0.2749730959292318,0.6506919345901725,275,0.5322515098273723,2,2,0.27308782748699667
60,free_run,10,0.9999999999999999,0.26931772522826114,0.6725898344661341,275,0.5292381182736603,2,2,0.273347081778822
61,free_run,10,0.9999999999999999,0.26879007698476726,0.7119799553518322,300,0.5261036071872088,2,2,0.2730889796168159
62,free_run,10,0.9999999999999999,0.27595844741377756,0.6738546045254087,300,0.524301569604749,2,2,0.2723493027828774
63,free_run,10,0.9999999999999998,0.26537772518582,0.64394246725844,310,0.5229874089757712,2,2,0.27079618102904796
64,free_run,10,1.0,0.2701643361861215,0.7206887743119337,315,0.5212036865343744,2,2,0.26988234551594
65,free_run,10,1.0,0.2828592668544655,0.7127187894058109,315,0.5204871360882954,2,2,0.2680787335313691
66,free_run,10,1.0,0.29602084880335316,0.6958605599023481,315,0.5201637429179315,2,2,0.2673652595641474
67,free_run,10,1.0,0.2889936747542844,0.7139878221957575,315,0.5195333934850804,2,2,0.2666570045334502
68,free_run,10,1.0,0.29335480473166914,0.7268110104362071,315,0.5170130677101624,2,2,0.2656310235943374
69,free_run,10,1.0,0.2969109055326988,0.6792520428815624,315,0.516380648312587,2,2,0.26525566748502677
70,free_run,10,1.0,0.28743996717719955,0.7188766513174593,315,0.5151693374192234,2,2,0.2651705747609501
71,free_run,10,1.0,0.2962522360309368,0.6951667795528218,350,0.5129755951784861,2,2,0.2644858315136607
72,free_run,10,1.0,0.3164553303105734,0.722058030611513,355,0.5111183133911138,2,2,0.26400116156313147
73,free_run,10,1.0,0.3242116698741895,0.7272350466066494,355,0.5107431711984295,2,2,0.26287247390521856
74,free_run,10,1.0,0.3282855206348675,0.7393325848867744,355,0.5090563102439413,2,2,0.26201308892162856
75,free_run,10,1.0,0.32319019224284007,0.742932876403408,355,0.5076999675096174,2,2,0.2608667625321886
76,free_run,10,1.0,0.3032801859412683,0.7212501958371599,355,0.5074850188060518,2,2,0.2595541798516858
77,free_run,10,1.0,0.30016697618981,0.7447034033214622,355,0.5067393627879867,2,2,0.2584433066912032
78,free_run,10,1.0,0.29797302034332745,0.7205605897998918,355,0.5056809343465655,2,2,0.2590167504645508
79,free_run,10,1.0,0.30276075774604694,0.7296649262360168,355,0.5042569230296079,2,2,0.25841071814439226
80,free_run,10,1.0,0.32133063696497094,0.734703512553771,395,0.5031221509178865,2,2,0.25737533121393663
81,free_run,10,1.0,0.33353157815804374,0.7525036714248605,400,0.5021393053895581,2,2,0.2571988606849086
82,free_run,10,1.0,0.33962888007250075,0.7414562804619841,400,0.5006706597205643,2,2,0.2572966974255302
83,free_run,10,1.0,0.3403123280436066,0.7158558915137782,400,0.5004884883307874,2,2,0.25724712644441505
84,free_run,10,1.0,0.3330467690434381,0.694198047648843,400,0.5000630450843678,2,2,0.2572928664001139
85,free_run,10,1.0,0.33673910140115176,0.7294472560455366,400,0.4991357033091654,2,2,0.25742272303974256
86,free_run,10,1.0,0.3386664247638059,0.7131620334856967,400,0.4976068196410221,2,2,0.25773386855473956
87,free_run,10,1.0,0.3310712765128016,0.7264635962509728,400,0.49608231477602144,2,2,0.258139133093586
88,free_run,10,1.0,0.3401195730130562,0.7146696707114611,400,0.4954246503709801,2,2,0.25906361687643664
89,free_run,10,1.0,0.3527715316235072,0.6497704496329995,400,0.4952820526531908,2,2,0.26015122527628237
90,free_run,10,0.9999999999999999,0.36350417465948687,0.7085808135495147,445,0.49392032394757407,2,2,0.2605257588849396
91,free_run,10,0.9999999999999999,0.3723372896370441,0.7511283480409949,450,0.49386992535916974,2,2,0.26149312911353106
92,free_run,10,0.9999999999999999,0.38735699749221536,0.7481220136286281,450,0.4922842053076197,2,2,0.2626911073072117
93,free_run,10,0.9999999999999999,0.39940029606665395,0.7551536270867361,450,0.491320874340844,2,2,0.2644711186056509
94,free_run,10,0.9999999999999999,0.37859017815192814,0.7245949024720195,450,0.4913765107781849,2,2,0.2661884929976327
95,free_run,10,0.9999999999999999,0.37009106476947873,0.7142390303187269,450,0.4904036222346741,2,2,0.26741759986021474
96,free_run,10,0.9999999999999999,0.36070979353685867,0.6807043516478127,450,0.4900990479320444,2,2,0.2676787530968736
97,free_run,10,0.9999999999999999,0.3357544287984165,0.687130979168016,450,0.48892419504044704,2,2,0.26844421618144476
98,free_run,10,0.9999999999999999,0.3145044279030574,0.7003376372382973,450,0.48867085088276613,2,2,0.26958903912005866
99,free_run,10,1.0000000000000002,0.30859303712190383,0.7274745126660832,490,0.4878795197863697,2,2,0.2706552035325551
100,free_run,10,1.0,0.2907733968423501,0.70284628879692,495,0.48672152654538003,2,2,0.2721984374889321
101,free_run,10,1.0,0.3030913905384721,0.7160602149009943,500,0.4861161176884165,2,2,0.2729150470956095
102,free_run,10,1.0,0.2972554860685523,0.7126026520817533,500,0.48582013854375056,2,2,0.2734050934516167
103,free_run,10,1.0,0.2963369353639213,0.7376537867022942,500,0.48531512260501525,2,2,0.27313137834615436
104,free_run,10,1.0,0.3277549096578625,0.6922983666926827,500,0.48446043077501216,2,2,0.2725000292101298
105,free_run,10,1.0,0.33727138360253595,0.67450575879304,500,0.4835386643072051,2,2,0.27221735690758764
106,free_run,10,1.0,0.3423768420714645,0.714045357241033,500,0.48300781198296755,2,2,0.2719788223850449
107,free_run,10,1.0,0.3168391052956069,0.6840915212744001,500,0.4827848189940966,2,2,0.2708773523250922
108,free_run,10,1.0,0.30791645560902536,0.6918700082926091,500,0.4820483350293203,2,2,0.2705651992100591
109,free_run,10,1.0,0.2997160772522638,0.6996829031122391,500,0.48141199155784203,2,2,0.2701720955216663
110,free_run,10,1.0,0.294467455214396,0.7311978968357034,545,0.48087574621723295,2,2,0.2703585819171546
111,free_run,10,1.0,0.2817505899097758,0.7065693055684545,550,0.48045353500715526,2,2,0.2705446356107985
112,free_run,10,1.0,0.27658553768051514,0.6781130454281845,550,0.4801520770565244,2,2,0.27026952211303423
113,free_run,10,1.0,0.272333045091339,0.7378947274291593,550,0.47974420483626523,2,2,0.2702213906135094
114,free_run,10,1.0,0.2734800101294355,0.7225011044861198,550,0.4796723674689259,2,2,0.26986005777701205
115,free_run,10,1.0,0.276833600871102,0.7168619883464984,550,0.47944172367393645,2,2,0.2694645316609646
116,free_run,10,1.0,0.2770287382987478,0.6978104821085362,550,0.47910092475890315,2,2,0.2684605542005029
117,free_run,10,1.0,0.28271815899706365,0.6585440357113516,550,0.4783116230487847,2,2,0.26822914792109054
118,free_run,10,1.0,0.28163123738972295,0.7123630128709799,550,0.47825334027396815,2,2,0.267896331844486
119,free_run,10,1.0,0.2863019499941496,0.706736123131759,550,0.47744082223727097,2,2,0.26823354517718784
120,free_run,10,1.0,0.2926826638002521,0.6981467519725695,595,0.4765861073083731,2,2,0.268434557942171
121,free_run,10,1.0,0.2956920418088308,0.7114247332898166,600,0.4767229019260436,2,2,0.26913498354483445
122,free_run,10,1.0,0.2906601441800117,0.741068243183119,600,0.47688882433589486,2,2,0.26869779489983375
123,free_run,10,1.0,0.28386718715652914,0.7326211983318854,600,0.4761152986695019,2,2,0.2690614305808983
124,free_run,10,1.0,0.28968607687548176,0.7475240063014825,600,0.47558121831160405,2,2,0.2698067731869916
125,free_run,10,1.0,0.2961741442707252,0.7763493221669975,600,0.47530617075231774,2,2,0.27048702429181537
126,free_run,10,1.0,0.3189921567793762,0.7545374799261176,600,0.47478520950340763,2,2,0.2706973979798434
127,free_run,10,1.0,0.3295446611341684,0.7444784251380969,600,0.4741761674085539,2,2,0.2708732359071874
128,free_run,10,1.0,0.3614248631597147,0.7364444932430174,600,0.4735586519599606,2,2,0.2713225890818613
129,free_run,10,1.0,0.36797640943719945,0.7098609479898232,600,0.4735255230919673,2,2,0.2721778406786391
130,free_run,10,1.0,0.375644056480825,0.7186925648705054,600,0.472606192825254,2,2,0.2729891581199702
131,free_run,10,1.0,0.38195335486742027,0.7448003851179231,650,0.4723963331274575,2,2,0.2737172584092303
132,free_run,10,0.9999999999999999,0.3668439808931228,0.7522213839328444,655,0.4721480958951143,2,2,0.2735247575369418
133,free_run,10,0.9999999999999999,0.3463509991832841,0.7379272168246814,655,0.47240540700341455,2,2,0.27404325823257053
134,free_run,10,0.9999999999999999,0.3365429906183225,0.6998388934991239,655,0.47178677206712477,2,2,0.2747854434824471
135,free_run,10,0.9999999999999999,0.3202386370411837,0.6982031884916141,655,0.47214009740418045,2,2,0.27618989527151994
136,free_run,10,0.9999999999999999,0.3202255531209131,0.7172668452741346,655,0.4717029812168496,2,2,0.2770196408264161
137,free_run,10,0.9999999999999999,0.3103411909760539,0.7519569084504032,655,0.4717828286310197,2,2,0.27823433023942
138,free_run,10,0.9999999999999999,0.2996580296353047,0.7227551966759013,655,0.47137407138044674,2,2,0.27899653235646177
139,free_run,10,0.9999999999999999,0.2902693758090572,0.7259642754423723,655,0.47095887834255185,2,2,0.2793860574960764
140,free_run,10,0.9999999999999999,0.29265251077513954,0.7201186281097149,655,0.47077228959811157,2,2,0.27981241041453914
141,free_run,10,0.9999999999999999,0.29338117918041984,0.7170886948700474,700,0.47033167132185083,2,2,0.28001082100022384
142,free_run,10,0.9999999999999999,0.3024386135804017,0.689012735552248,700,0.46982157489138726,2,2,0.28011977080868844
143,free_run,10,1.0,0.3189295664642275,0.6850631370172517,710,0.46912877445483914,2,2,0.2805136571141483
144,free_run,10,0.9999999999999998,0.3030583505977621,0.7259546608096944,715,0.46849823989755984,2,2,0.28020559710212994
145,free_run,10,0.9999999999999998,0.2801810639947492,0.7097851517370423,715,0.4686882664035411,2,2,0.2798107040556055
146,free_run,10,0.9999999999999998,0.2763216865505392,0.6866138310045724,715,0.46857862246851373,2,2,0.2795265355799442
147,free_run,10,0.9999999999999998,0.2732945157661929,0.7125640729080621,715,0.46802029431985936,2,2,0.27938326353989323
148,free_run,10,0.9999999999999998,0.2748373552924678,0.6911289799182864,715,0.4680506122731285,2,2,0.27877501545235256
149,free_run,10,0.9999999999999998,0.283705495679107,0.6777043720690223,715,0.4673902264367724,2,2,0.279054762170073
150,free_run,10,0.9999999999999998,0.27924704491098745,0.6587230150973025,715,0.46695450764238783,2,2,0.2790746016132263
